"OrphaCode","Name","DisorderType","DisorderGroup","ICD10_Reference","ICD10_MappingRelation"
"98429","Rare coagulation disorder","Category","Group of disorders",NA,NA
"98427","Polycythemia","Clinical group","Group of disorders",NA,NA
"98428","Secondary polycythemia","Category","Group of disorders","D75.1","E (Exact mapping: the two concepts are equivalent)"
"572428","Infantile-onset pulmonary alveolar proteinosis-hypogammaglobulinemia","Disease","Disorder","J84.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"98434","Hereditary combined deficiency of vitamin K-dependent clotting factors","Disease","Disorder","D68.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"98435","OBSOLETE: Protease inhibitor anomaly","Category","Group of disorders",NA,NA
"572543","RFVT2-related riboflavin transporter deficiency","Clinical subtype","Subtype of disorder","G12.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"572550","RFVT3-related riboflavin transporter deficiency","Clinical subtype","Subtype of disorder","G12.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"572773","Microcephaly-short stature-limb abnormalities syndrome","Clinical subtype","Subtype of disorder","Q87.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"98454","OBSOLETE: Platelet storage pool disease","Category","Group of disorders",NA,NA
"572798","WARS2-related combined oxidative phosphorylation defect","Disease","Disorder","E88.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"572761","DONSON-related microcephaly-short stature-limb abnormalities spectrum","Malformation syndrome","Disorder","Q87.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"572768","Microcephaly-micromelia syndrome","Clinical subtype","Subtype of disorder","Q87.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"98523","Non-syndromic pontocerebellar hypoplasia","Clinical group","Group of disorders",NA,NA
"98519","Posterior fossa malformation","Category","Group of disorders",NA,NA
"98520","OBSOLETE: Cystic malformation of the posterior fossa","Category","Group of disorders",NA,NA
"98531","OBSOLETE: Tauopathy with a major tau doublet at 60 and 64 kDa","Category","Group of disorders",NA,NA
"98532","OBSOLETE: Tauopathy with a major tau at 60 kDa","Category","Group of disorders",NA,NA
"98534","Neurodegenerative disease with dementia","Category","Group of disorders",NA,NA
"98527","OBSOLETE: Tauopathy","Category","Group of disorders",NA,NA
"98528","OBSOLETE: Tauopathy with non-Alzheimer non-Pick frontal lobe degeneration","Category","Group of disorders",NA,NA
"98529","OBSOLETE: Tauopathy with a major tau triplet at 60, 64 and 69 kDa","Category","Group of disorders",NA,NA
"98530","OBSOLETE: Tauopathy with a major tau doublet at 64 and 69 kDa","Category","Group of disorders",NA,NA
"98540","Late-onset ataxia with dementia","Category","Group of disorders",NA,NA
"98539","Early-onset ataxia with dementia","Category","Group of disorders",NA,NA
"572013","Posterior-predominant lissencephaly-broad flat pons and medulla-midline crossing defects syndrome","Malformation syndrome","Disorder","Q04.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"98542","Infectious disease with dementia","Category","Group of disorders",NA,NA
"98535","Frontotemporal degeneration with dementia","Clinical group","Group of disorders",NA,NA
"98538","Ataxia with dementia","Category","Group of disorders",NA,NA
"572333","Blepharophimosis-ptosis-epicanthus inversus syndrome plus","Malformation syndrome","Disorder","Q10.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"572354","Blepharophimosis-ptosis-epicanthus inversus syndrome type 1","Clinical subtype","Subtype of disorder","Q10.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"98549","Rare cerebrovascular dementia","Category","Group of disorders",NA,NA
"98544","Cerebral lipidosis with dementia","Category","Group of disorders",NA,NA
"98543","Metabolic disease with dementia","Category","Group of disorders",NA,NA
"570762","Infective endocarditis","Disease","Disorder","I33.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"98494","Acquired neuromuscular junction disease","Category","Group of disorders",NA,NA
"570491","QRSL1-related combined oxidative phosphorylation defect","Disease","Disorder","E88.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"98491","Neuromuscular junction disease","Category","Group of disorders",NA,NA
"570470","Ricin poisoning","Disease","Disorder","T62.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"570438","HHV-8-associated multicentric Castleman disease","Clinical subtype","Subtype of disorder","D47.7","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"570431","Idiopathic multicentric Castleman disease","Clinical subtype","Subtype of disorder","D47.7","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"570422","Galactose mutarotase deficiency","Disease","Disorder","E88.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"570371","Bartter syndrome type 5","Clinical subtype","Subtype of disorder","E26.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"98497","Genetic peripheral neuropathy","Category","Group of disorders",NA,NA
"98495","Genetic neuromuscular junction disease","Category","Group of disorders",NA,NA
"98496","Rare peripheral neuropathy","Category","Group of disorders",NA,NA
"98506","Acquired motor neuron disease","Category","Group of disorders",NA,NA
"98505","Genetic motor neuron disease","Category","Group of disorders",NA,NA
"98503","Motor neuron disease","Category","Group of disorders","G12.2","E (Exact mapping: the two concepts are equivalent)"
"98518","Cranial nerve and nuclear aplasia","Category","Group of disorders",NA,NA
"98516","Malformation of the cerebellar hemispheres","Category","Group of disorders",NA,NA
"98514","Malformation of the cerebellar vermis","Category","Group of disorders",NA,NA
"117573","Syndromic anorectal malformation","Category","Group of disorders",NA,NA
"104077","Myopathic intestinal pseudoobstruction","Etiological subtype","Subtype of disorder","K59.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"104076","Leiomyosarcoma of small intestine","Disease","Disorder","C17.1","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"104075","Adenocarcinoma of the small intestine","Disease","Disorder","D01.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"104013","Metabolic disease with intestinal involvement","Category","Group of disorders",NA,NA
"104012","Rare inflammatory bowel disease","Category","Group of disorders",NA,NA
"104011","Rare tumor of intestine","Category","Group of disorders",NA,NA
"104010","Intestinal polyposis syndrome","Clinical group","Group of disorders",NA,NA
"104009","Rare disease involving intestinal motility","Category","Group of disorders",NA,NA
"104008","Short bowel syndrome","Clinical group","Group of disorders",NA,NA
"104007","Congenital enteropathy involving intestinal mucosa development","Category","Group of disorders",NA,NA
"104006","Congenital intestinal disease due to an enzymatic defect","Category","Group of disorders",NA,NA
"104005","Intestinal disease due to fat malabsorption","Category","Group of disorders",NA,NA
"104004","Intestinal disease due to vitamin absorption anomaly","Category","Group of disorders",NA,NA
"104003","Congenital intestinal transport defect","Category","Group of disorders",NA,NA
"103920","Undetermined colitis","Disease","Disorder","K52.3","E (Exact mapping: the two concepts are equivalent)"
"103919","Autoimmune pancreatitis","Clinical group","Group of disorders",NA,NA
"103917","OBSOLETE: Autoimmune enteropathy type 3","Disease","Disorder",NA,NA
"103918","Tropical pancreatitis","Disease","Disorder","K86.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"103915","OBSOLETE: Immunoproliferative small intestinal disease","Disease","Disorder",NA,NA
"103916","OBSOLETE: Autoimmune enteropathy type 2","Disease","Disorder",NA,NA
"103910","Congenital enterocyte heparan sulfate deficiency","Disease","Disorder","P78.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"103912","OBSOLETE: Epithelio-exfoliative colitis-deafness syndrome","Disease","Disorder",NA,NA
"103908","Congenital sodium diarrhea","Disease","Disorder","K90.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"103909","Trehalase deficiency","Disease","Disorder","E74.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"103907","Chronic diarrhea due to glucoamylase deficiency","Disease","Disorder","E74.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"102724","Acute myeloid leukemia with t(8;21)(q22;q22) translocation","Disease","Disorder","C92.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"102379","Acute myeloid leukemia and myelodysplastic syndromes related to alkylating agent","Disease","Disorder","C92.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"102381","Acute myeloid leukemia and myelodysplastic syndromes related to topoisomerase type 2 inhibitor","Disease","Disorder","C92.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"109011","Non-syndromic limb malformation","Category","Group of disorders",NA,NA
"109009","Syndrome with limb malformations as a major feature","Category","Group of disorders","Q87.2","E (Exact mapping: the two concepts are equivalent)"
"117569","Rare intestinal disease","Category","Group of disorders",NA,NA
"109007","Arthrogryposis syndrome","Category","Group of disorders",NA,NA
"108995","Syndromic respiratory or mediastinal malformation","Category","Group of disorders",NA,NA
"108993","Non-syndromic respiratory or mediastinal malformation","Category","Group of disorders",NA,NA
"108999","Rare disorder due to toxic effects","Category","Group of disorders",NA,NA
"108997","Rare anemia","Category","Group of disorders",NA,NA
"108987","OBSOLETE: Syndromic developmental defect of the eye","Category","Group of disorders",NA,NA
"108985","OBSOLETE: Non-syndromic developmental defect of the eye","Category","Group of disorders",NA,NA
"108991","Syndrome with a central nervous system malformation as a major feature","Category","Group of disorders",NA,NA
"108989","Non-syndromic central nervous system malformation","Category","Group of disorders",NA,NA
"108977","Non-syndromic diaphragmatic or abdominal wall malformation","Category","Group of disorders",NA,NA
"108979","Syndromic diaphragmatic or abdominal wall malformation","Category","Group of disorders",NA,NA
"108969","Syndromic intestinal malformation","Category","Group of disorders",NA,NA
"108971","Non-syndromic visceral malformation","Category","Group of disorders",NA,NA
"108973","Syndromic visceral malformation","Category","Group of disorders",NA,NA
"108961","Syndromic esophageal malformation","Category","Group of disorders",NA,NA
"108963","Non-syndromic gastroduodenal malformation","Category","Group of disorders",NA,NA
"108965","Syndromic gastroduodenal malformation","Category","Group of disorders",NA,NA
"108967","Non-syndromic intestinal malformation","Category","Group of disorders",NA,NA
"104078","Unclassified intestinal pseudoobstruction","Etiological subtype","Subtype of disorder","K59.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"108959","Non-syndromic esophageal malformation","Category","Group of disorders",NA,NA
"101995","Periodic fever syndrome","Category","Group of disorders",NA,NA
"101992","Immunodeficiency due to a complement cascade protein anomaly","Category","Group of disorders","D84.1","E (Exact mapping: the two concepts are equivalent)"
"101998","Rare epilepsy","Category","Group of disorders",NA,NA
"101997","Primary immunodeficiency","Category","Group of disorders",NA,NA
"102002","Rare ataxia","Category","Group of disorders",NA,NA
"102003","Rare movement disorder","Category","Group of disorders",NA,NA
"102000","Medullar disease","Category","Group of disorders",NA,NA
"102006","Neurovascular malformation","Category","Group of disorders",NA,NA
"102005","Brain inflammatory disease","Category","Group of disorders",NA,NA
"101978","OBSOLETE: Disease with severe reduction in all serum immunoglobulin isotypes with profoundly decreased or absent B cells","Category","Group of disorders",NA,NA
"101977","Immunodeficiency predominantly affecting antibody production","Category","Group of disorders",NA,NA
"101982","OBSOLETE: Disease with severe reduction in serum IgA and IgG with normal/elevated IgM and normal numbers of B cells","Category","Group of disorders",NA,NA
"101980","OBSOLETE: Disease with isotype or light chain deficiencies with normal numbers of B cells","Category","Group of disorders",NA,NA
"101987","Congenital neutropenia","Category","Group of disorders","D70","E (Exact mapping: the two concepts are equivalent)"
"101985","Quantitative and/or qualitative congenital phagocyte defect","Category","Group of disorders",NA,NA
"101988","Primary immunodeficiency due to a defect in innate immunity","Category","Group of disorders",NA,NA
"102024","Human herpesvirus 8-related disorder","Category","Group of disorders",NA,NA
"102025","OBSOLETE: Nuclear cell envelopathy","Category","Group of disorders",NA,NA
"102069","OBSOLETE: Hepatic amyloidosis with intrahepatic cholestasis","Disease","Disorder",NA,NA
"102237","Unexplained periodic fever syndrome","Category","Group of disorders",NA,NA
"102283","Multiple congenital anomalies/dysmorphic syndrome-intellectual disability","Category","Group of disorders",NA,NA
"102284","OBSOLETE: Multiple congenital anomalies/dysmorphic syndrome-variable intellectual disability syndrome","Category","Group of disorders",NA,NA
"102285","Multiple congenital anomalies/dysmorphic syndrome without intellectual disability","Category","Group of disorders",NA,NA
"102369","Rare syndromic intellectual disability","Category","Group of disorders",NA,NA
"102373","OBSOLETE: Primary glomerular disease","Category","Group of disorders",NA,NA
"102009","Classic lissencephaly","Clinical group","Group of disorders",NA,NA
"102011","Lissencephaly type 3","Clinical group","Group of disorders",NA,NA
"102010","Other syndrome with lissencephaly as a major feature","Category","Group of disorders",NA,NA
"102013","Complex hereditary spastic paraplegia","Clinical group","Group of disorders",NA,NA
"102012","Pure hereditary spastic paraplegia","Clinical group","Group of disorders",NA,NA
"102015","Autosomal recessive limb-girdle muscular dystrophy","Category","Group of disorders",NA,NA
"102014","Autosomal dominant limb-girdle muscular dystrophy","Category","Group of disorders",NA,NA
"102021","Rickettsial disease","Category","Group of disorders",NA,NA
"102020","Autosomal monosomy","Category","Group of disorders",NA,NA
"102023","Typhus-group rickettsiosis","Category","Group of disorders",NA,NA
"102022","Spotted fever rickettsiosis","Category","Group of disorders",NA,NA
"101934","Genetic cardiac rhythm disease","Category","Group of disorders",NA,NA
"101932","Anomaly of the mitral subvalvular apparatus","Morphological anomaly","Disorder","Q23.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"101685","Rare non-syndromic intellectual disability","Disease","Disorder","F73","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"101943","Rare hepatic and biliary tract tumor","Category","Group of disorders",NA,NA
"101940","Rare metabolic liver disease","Category","Group of disorders",NA,NA
"101941","Rare biliary tract disease","Category","Group of disorders",NA,NA
"101938","Rare vascular liver disease","Category","Group of disorders",NA,NA
"101939","Rare parenchymal liver disease","Category","Group of disorders",NA,NA
"101936","Rare gastroesophageal disease","Category","Group of disorders",NA,NA
"101937","Rare pancreatic disease","Category","Group of disorders",NA,NA
"101351","Familial isolated congenital asplenia","Morphological anomaly","Disorder","Q89.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"101338","OBSOLETE: Mediterranean spotted fever","Etiological subtype","Subtype of disorder",NA,NA
"101337","OBSOLETE: Marseilles fever","Etiological subtype","Subtype of disorder",NA,NA
"101435","Rare genetic eye disease","Category","Group of disorders",NA,NA
"101433","Rare urogenital disease","Category","Group of disorders",NA,NA
"101356","OBSOLETE: Lissencephaly-demyelinating axonal neuropathy syndrome","Disease","Disorder",NA,NA
"101960","Genetic chronic primary adrenal insufficiency","Category","Group of disorders",NA,NA
"101963","Acquired chronic primary adrenal insufficiency","Category","Group of disorders",NA,NA
"101972","Combined T and B cell immunodeficiency","Clinical group","Group of disorders","D81","E (Exact mapping: the two concepts are equivalent)"
"101949","OBSOLETE: Rare acquired eye disease","Category","Group of disorders",NA,NA
"101950","Rare eye tumor","Category","Group of disorders",NA,NA
"101945","Rare bronchopulmonary and pleural cavity tumors","Category","Group of disorders",NA,NA
"101944","Rare pulmonary disease","Category","Group of disorders",NA,NA
"101957","Pituitary deficiency","Category","Group of disorders","E23.0","E (Exact mapping: the two concepts are equivalent)"
"101956","Polyendocrinopathy","Category","Group of disorders",NA,NA
"101959","Chronic primary adrenal insufficiency","Category","Group of disorders",NA,NA
"101958","Primary adrenal insufficiency","Category","Group of disorders",NA,NA
"101953","Rare dyslipidemia","Category","Group of disorders",NA,NA
"101952","Rare diabetes mellitus","Category","Group of disorders",NA,NA
"101955","Rare thyroid disease","Category","Group of disorders",NA,NA
"101954","Rare adrenal disease","Category","Group of disorders",NA,NA
"664511","Early-onset severe Hermansky-Pudlak syndrome with hearing loss, due to AP3D1 deficiency","Clinical subtype","Subtype of disorder",NA,NA
"101150","Autosomal recessive dopa-responsive dystonia","Disease","Disorder","G24.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"664500","Hermansky-Pudlak syndrome due to AP3B1 deficiency","Clinical subtype","Subtype of disorder",NA,NA
"101151","Dystonia 14","Disease","Disorder",NA,NA
"664482","Primary hemophagocytic lymphohistiocytosis without hypopigmentation","Category","Group of disorders",NA,NA
"101111","Spinocerebellar ataxia type 25","Disease","Disorder","G11.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"101112","Spinocerebellar ataxia type 26","Disease","Disorder","G11.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"664456","Immune dysregulation disease with immunodeficiency associated with EBV susceptibility","Clinical group","Group of disorders",NA,NA
"101109","Spinocerebellar ataxia type 28","Disease","Disorder","G11.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"664450","Inherited cancer-predisposing lymphoproliferative syndrome","Category","Group of disorders",NA,NA
"664438","Gingival fibromatosis-aortic root dilatation-facial dysmorphism-intellectual disability syndrome","Malformation syndrome","Disorder","Q87.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"101110","Spinocerebellar ataxia type 20","Disease","Disorder","G11.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"101107","Spinocerebellar ataxia type 22","Disease","Disorder",NA,NA
"101108","Spinocerebellar ataxia type 23","Disease","Disorder","G11.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"664430","Neurodevelopmental disorder-slit-like lateral ventricles-intellectual disability syndrome","Malformation syndrome","Disorder","Q04.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"664416","Brain abnormalities-severe developmental delay-facial dysmorphism-intellectual disability syndrome due to MEF2C mutation","Etiological subtype","Subtype of disorder",NA,NA
"664410","Brain abnormalities-severe developmental delay-facial dysmorphism-intellectual disability syndrome","Malformation syndrome","Disorder","Q87.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"101106","OBSOLETE: Non-secreting chemodectoma","Clinical subtype","Subtype of disorder",NA,NA
"665058","Common arterial trunk with pulmonary dominance and interrupted aortic arch","Clinical subtype","Subtype of disorder",NA,NA
"101336","OBSOLETE: Kenya tick typhus","Etiological subtype","Subtype of disorder",NA,NA
"667589","Isolated congenital femoral bifurcation","Morphological anomaly","Disorder","Q74.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"101335","OBSOLETE: Indian tick typhus","Etiological subtype","Subtype of disorder",NA,NA
"665044","Common arterial trunk with aortic dominance","Clinical subtype","Subtype of disorder",NA,NA
"101334","African tick typhus","Disease","Disorder","A77.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"664912","Neonatal renal venous thrombosis","Disease","Disorder","I82.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"664923","Congenital arthrogryposis-microcephaly-facial dysmorphism-severe neurodevelopmental delay syndrome","Disease","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"664787","Nicolau syndrome","Clinical syndrome","Disorder","T80.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"101330","Porphyria cutanea tarda","Disease","Disorder","E80.1","E (Exact mapping: the two concepts are equivalent)"
"664901","Trigeminal trophic syndrome","Disease","Disorder","G50.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"664729","EBV-induced lymphoproliferative disease due to TET2 deficiency","Disease","Disorder","D82.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"664734","EBV susceptibility with hemophagocytic lymphohistiocytosis as a major feature","Clinical group","Group of disorders",NA,NA
"664726","EBV-induced lymphoproliferative disease due to CD137 deficiency","Disease","Disorder","D82.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"101206","Pulmonary valve agenesis-tetralogy of Fallot-absence of ductus arteriosus syndrome","Malformation syndrome","Disorder","Q22.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"664711","EBV-induced lymphoproliferative disease due to PRKCD deficiency","Disease","Disorder","D82.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"664699","EBV-induced lymphoproliferative disease due to RASGRP1 deficiency","Disease","Disorder","D82.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"662473","Duodenal duplication","Clinical subtype","Subtype of disorder","Q43.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"101085","Charcot-Marie-Tooth disease type 1F","Disease","Disorder","G60.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"662456","Small intestine duplication","Morphological anomaly","Disorder","Q43.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"662721","Placenta accreta spectrum disorder","Disease","Disorder","O43.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"662480","Jujeno-ileal duplication","Clinical subtype","Subtype of disorder",NA,NA
"101088","X-linked hyper-IgM syndrome","Clinical subtype","Subtype of disorder","D80.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"662388","Gallbladder duplication","Morphological anomaly","Disorder","Q44.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"101081","Charcot-Marie-Tooth disease type 1A","Disease","Disorder","G60.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"662376","Gastric duplication","Morphological anomaly","Disorder","Q40.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"101082","Charcot-Marie-Tooth disease type 1B","Disease","Disorder","G60.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"662405","Pyloric duplication","Morphological anomaly","Disorder","Q40.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"101083","Charcot-Marie-Tooth disease type 1C","Disease","Disorder","G60.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"662392","Colonic duplication","Morphological anomaly","Disorder","Q43.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"101084","Charcot-Marie-Tooth disease type 1D","Disease","Disorder","G60.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"662240","Frey syndrome","Clinical syndrome","Disorder","G50.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"101077","X-linked Charcot-Marie-Tooth disease type 3","Disease","Disorder","G60.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"101078","X-linked Charcot-Marie-Tooth disease type 4","Disease","Disorder","G60.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"662234","Neurodevelopmental delay-congenital heart defects-intellectual disability syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"662367","NESCAV syndrome","Disease","Disorder","G93.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"662255","Grisel syndrome","Clinical syndrome","Disorder","M43.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"662216","Mucopolysaccharidosis type 10","Disease","Disorder","E76.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"662207","Neurodevelopmental delay-brain malformations-skeletal defects-intellectual disability syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"662229","Episodic memory defect leukoencephalopathy","Disease","Disorder","G93.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"101075","X-linked Charcot-Marie-Tooth disease type 1","Disease","Disorder","G60.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"101076","X-linked Charcot-Marie-Tooth disease type 2","Disease","Disorder","G60.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"664377","MGP-related spondyloepiphyseal dysplasia","Malformation syndrome","Disorder","Q77.7","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"101102","Charcot-Marie-Tooth disease type 2H","Disease","Disorder","G60.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"664401","Cardiac anomalies-short stature-joint hypermobility-facial dysmorphism syndrome due to TAB2 mutation","Etiological subtype","Subtype of disorder",NA,NA
"101101","Charcot-Marie-Tooth disease type 2B2","Disease","Disorder","G60.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"664404","6q25.1 microdeletion syndrome","Etiological subtype","Subtype of disorder",NA,NA
"101104","Marin-Amat syndrome","Clinical subtype","Subtype of disorder","Q07.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"101097","Autosomal recessive Charcot-Marie-Tooth disease with hoarseness","Disease","Disorder","G60.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"664372","Soft and hard cleft palate","Morphological anomaly","Disorder","Q35.5","E (Exact mapping: the two concepts are equivalent)"
"101096","OBSOLETE: Aregenerative anemia","Disease","Disorder",NA,NA
"662762","Motor delay-microcephaly-speech impairment-ocular abnormalities syndrome","Malformation syndrome","Disorder","Q87.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"101090","Hyper-IgM syndrome type 3","Clinical subtype","Subtype of disorder","D80.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"662786","Vasa previa","Disease","Disorder","P02.6","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"101089","Hyper-IgM syndrome type 2","Clinical subtype","Subtype of disorder","D80.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"662829","Intellectual disability-speech delay-dysmorphic features-T cell abnormalities syndrome","Disease","Disorder","Q87.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"101092","Hyper-IgM syndrome type 5","Clinical subtype","Subtype of disorder","D80.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"662934","Acute megakaryoblastic leukemia in adult","Clinical subtype","Subtype of disorder",NA,NA
"101091","Hyper-IgM syndrome type 4","Clinical subtype","Subtype of disorder","D80.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"675362","Hobnail hemangioma","Disease","Disorder",NA,NA
"675359","Anastomosing haemangioma","Disease","Disorder",NA,NA
"101052","OBSOLETE: Microlissencephaly type B","Disease","Disorder",NA,NA
"675216","Spinocerebellar ataxia type 27B","Disease","Disorder",NA,NA
"101049","Familial hypocalciuric hypercalcemia type 2","Etiological subtype","Subtype of disorder","E83.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"101050","Familial hypocalciuric hypercalcemia type 3","Etiological subtype","Subtype of disorder","E83.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"674968","Bilateral diffuse uveal melanocytic proliferation disease","Disease","Disorder",NA,NA
"675380","Isolated segmental infantile hemangioma","Disease","Disorder",NA,NA
"675369","Microvenular haemangioma","Disease","Disorder",NA,NA
"101043","Congenital aortic valve dysplasia","Clinical subtype","Subtype of disorder","Q23.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"674943","Isolated angioid streaks","Disease","Disorder",NA,NA
"674935","Torpedo Maculopathy","Disease","Disorder",NA,NA
"674930","Perifoveal exudative vascular anomalous complex","Disease","Disorder",NA,NA
"101041","Familial hypofibrinogenemia","Clinical subtype","Subtype of disorder","D68.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"101042","OBSOLETE: Taussig-Bing syndrome","Clinical subtype","Subtype of disorder",NA,NA
"674924","Isolated retinal racemose hemangioma","Disease","Disorder",NA,NA
"674965","Choroidal osteoma","Disease","Disorder",NA,NA
"674958","Stellate multiform amelanotic choroidopathy","Disease","Disorder",NA,NA
"674953","Multiple evanescent white dot syndrome","Disease","Disorder",NA,NA
"674947","Diffuse unilateral subacute neuroretinitis","Disease","Disorder",NA,NA
"101046","Autosomal dominant epilepsy with auditory features","Disease","Disorder","G40.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"101068","Congenital stromal corneal dystrophy","Disease","Disorder","H18.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"675767","Severe congenital neutropenia-developmental delay-pancreatic insufficiency syndrome due to SRP54 deficiency","Disease","Disorder",NA,NA
"101071","Unilateral hemispheric polymicrogyria","Clinical subtype","Subtype of disorder","Q04.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"101070","Bilateral frontoparietal polymicrogyria","Clinical subtype","Subtype of disorder","Q04.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"675597","Acquired elastotic haemangioma","Disease","Disorder",NA,NA
